,movie name,meter_score,audience_score
2025,yu-gi-oh!: the dark side of dimensions,45,59%
2026,neruda,,
2027,la tortue rouge,,
2028,frantz,91,84%
2029,premam,,87%
2030,mei gong he xing dong,,87%
2031,ki & ka,,87%
2032,31,49,35%
2033,huo guo ying xiong,49,35%
2034,passage to mars,29,85%
2035,i belonged to you,,54%
2036,xi you ji zhi: sun wukong san da baigu jing,,54%
2037,little men,,54%
2038,chaar sahibzaade 2: rise of banda singh bahadur,,54%
2039,paris pieds nus,,
2040,mr. church,,
2041,american honey,79,64%
2042,range 15,,86%
2043,baar baar dekho,43,49%
2044,the exception,75,66%
2045,ma-seu-teo,75,66%
2046,wazir,71,53%
2047,tommy's honour,71,53%
2048,saturday's warrior,71,53%
2049,cold war ii,71,53%
2050,american pastoral,21,29%
2051,mil-jeong,21,29%
2052,gentleman,,
2053,grave,,55%
2054,fitoor,18,45%
2055,leokki,18,45%
2056,wiener-dog,18,45%
2057,dishoom,18,45%
2058,wo bu shi pan jin lian,18,45%
2059,baaghi,,
2060,lu de shui,,
2061,happy bhag jayegi,80,41%
2062,chuck,80,62%
2063,the bounce back,67,76%
2064,amerigeddon,67,76%
2065,christine,69,63%
2066,my life as a zucchini,98,88%
2067,aquarius,97,77%
2068,l'avenir,97,77%
2069,kahaani 2,100,59%
2070,umi yori mo mada fukaku,100,59%
2071,wakefield,75,53%
2072,"i, daniel blake",75,53%
2073,te3n,75,67%
2074,alleluia! the devil's carnival,75,67%
2075,cézanne et moi,60,53%
2076,pulimurugan,60,53%
2077,dean,64,68%
2078,spirit of the game,64,68%
2079,luo man di ke xiao wang shi,64,68%
2080,kingsglaive: final fantasy xv,64,68%
2081,the love witch,95,60%
2082,all i see is you,28,32%
2083,railroad tigers,39,47%
2084,driving while black,63,50%
2085,naam hai akira,38,37%
2086,jimmy vestvood: amerikan hero,38,37%
2087,white girl,70,44%
2088,autumn lights,14,86%
2089,spark: a space tail,14,86%
2090,the bad batch,44,30%
2091,graduation,0,63%
2092,asura,,61%
2093,complete unknown,50,24%
2094,"polina, danser sa vie",50,24%
2095,la fille inconnue,,39%
2096,the void,,24%
2097,kicks,50,25%
2098,feng shen bang,50,25%
2099,moka,87,71%
2100,the masked saint,14,61%
2101,gwi-hyang,14,61%
2102,remember the goal,,65%
2103,caged no more,,67%
2104,ma loute,66,40%
2105,kongens nei,66,40%
2106,kaptaan,66,40%
2107,bar bahar,66,40%
2108,against the wild 2: survive the serengeti,66,40%
2109,la pazza gioia,66,40%
2110,bongyi kim seon-dal,66,40%
2111,qing sheng,66,40%
2112,teukbyulshimin,66,40%
2113,past life,80,72%
2114,other people,85,80%
2115,zhi qing chun 2: yuan lai ni hai zai zhe li,85,80%
2116,morris from america,88,60%
2117,goldstone,88,60%
2118,sufat chol,92,86%
2119,zhui xiong zhe ye,92,86%
2120,sky on fire,40,17%
2121,saala khadoos,83,75%
2122,stefan zweig: farewell to europe,83,75%
2123,te ata,65,98%
2124,buster's mal heart,65,98%
2125,san shao ye de jian,65,98%
2126,until forever,65,98%
2127,tamjung hong gil-dong: sarajin ma-eul,65,98%
2128,san ren xing,65,98%
2129,my entire high school sinking into the sea,84,61%
2130,ucitelka,84,61%
2131,el rey del once,71,36%
2132,the tiger hunter,78,83%
2133,donald cried,94,68%
2134,siganitalja,94,68%
2135,operation avalanche,70,53%
2136,quand on a 17 ans,70,53%
2137,hyeong,70,53%
2138,joahaejwo,70,53%
2139,in a valley of violence,76,51%
2140,o ornitólogo,76,51%
2141,so b. it,76,51%
2142,3 weeks in yerevan,,
2143,high strung,,79%
2144,op-pa saeng-gak,,79%
2145,the greasy strangler,65,52%
2146,mastizaade,0,0%
2147,hermia & helena,0,0%
2148,the death of louis xiv,0,0%
2149,shavua ve yom,0,0%
2150,wild oats,0,0%
2151,is that a gun in your pocket?,0,93%
2152,bastille day,0,93%
2153,spa night,95,60%
2154,kollektivet,95,60%
2155,from the land of the moon,33,67%
2156,a woman's life,33,67%
2157,this beautiful fantastic,33,67%
2158,a street cat named bob,77,76%
2159,london town,,
2160,the intervention,80,49%
2161,gosanja: dae-dong-yeo ji-do,80,49%
2162,poor boy,20,65%
2163,under the shadow,99,74%
2164,sophie and the rising sun,60,57%
2165,nocturama,86,60%
2166,powidoki,86,60%
2167,kuai shou qiang shou kuai qiang shou,86,60%
2168,the son of joseph,93,56%
2169,king cobra,,27%
2170,mothers and daughters,,27%
2171,poesía sin fin,,27%
2172,the untamed,,27%
2173,pelé: birth of a legend,,27%
2174,ribbons,,27%
2175,jet trash,67,
2176,the eyes of my mother,67,
2177,deokhyeongju,67,
2178,radio dreams,95,
2179,"a woman, a part",95,
2180,simple creature,,29%
2181,goat,,29%
2182,sanam teri kasam,,29%
2183,paradise club,,
2184,la jeune fille sans mains,,
2185,the transfiguration,85,54%
2186,the fiancé,85,54%
2187,the happys,,100%
2188,phantom of the theatre,45,29%
2189,better watch out,88,66%
2190,massacre on aisle 12,,77%
2191,carrie pilby,63,74%
2192,search engines,,
2193,slava,,
2194,clash,,40%
2195,the channel,,14%
2196,the land,,14%
2197,fuchi ni tatsu,,14%
2198,arise from darkness,,99%
2199,tiszta szívvel,,99%
2200,porto,,99%
2201,paradise,,
2202,"no pay, nudity",,
2203,brave new jersey,,
2204,l'économie du couple,,
2205,till we meet again,,
2206,shangri-la suite,,
2207,tyut pei ba ba,,
2208,term life,0,30%
2209,junction 48,78,80%
2210,my art,67,
2211,a beginner's guide to snuff,67,
2212,jours de france,89,47%
2213,"kiki, el amor se hace",89,47%
2214,always shine,90,52%
2215,rester vertical,90,52%
2216,mãe só há uma,90,52%
2217,wildflower,90,52%
2218,souvenir,,
2219,saigon bodyguards,,
2220,lovesong,,
2221,beta test,,21%
2222,providence,88,88%
2223,blood feast,88,88%
2224,birkebeinerne,88,88%
2225,ghost team,88,88%
2226,pet,88,88%
2227,spices of liberty,,
2228,the persian connection,,
2229,footnotes,,
2230,icaros: a vision,,
2231,blue jay,90,76%
2232,the carer,69,61%
2233,i love you both,,61%
2234,auto shop of horrors,,61%
2235,ang babaeng humayo,,61%
2236,miss stevens,91,65%
2237,star wars: episode viii - the last jedi,91,65%
2238,beauty and the beast,,80%
2239,wonder woman,89,78%
2240,jumanji: welcome to the jungle,89,78%
2241,guardians of the galaxy vol. 2,89,78%
2242,spider-man: homecoming,89,78%
2243,it,89,78%
2244,thor: ragnarok,89,78%
2245,despicable me 3,59,54%
2246,justice league,59,54%
2247,logan,59,54%
2248,the fate of the furious,67,72%
2249,coco,,15%
2250,dunkirk,,73%
2251,get out,99,86%
2252,the lego batman movie,90,80%
2253,the boss baby,52,51%
2254,the greatest showman,52,51%
2255,pirates of the caribbean: dead men tell no tales,52,51%
2256,kong: skull island,52,51%
2257,cars 3,68,70%
2258,war for the planet of the apes,93,84%
2259,wonder,84,88%
2260,transformers: the last knight,84,88%
2261,girls trip,90,78%
2262,fifty shades darker,11,48%
2263,baby driver,93,86%
2264,pitch perfect 3,31,45%
2265,daddy's home two,31,45%
2266,murder on the orient express,91,79%
2267,annabelle: creation,91,79%
2268,kingsman: the golden circle,91,79%
2269,blade runner 2049,87,81%
2270,john wick: chapter 2,87,81%
2271,the emoji movie,8,39%
2272,power rangers,8,39%
2273,ferdinand,71,50%
2274,the post,88,73%
2275,the mummy,88,73%
2276,the hitman's bodyguard,88,73%
2277,alien: covenant,88,73%
2278,captain underpants: the first epic movie,88,73%
2279,a bad moms christmas,30,45%
2280,a dog's purpose,30,45%
2281,the shape of water,,
2282,the lego ninjago movie,56,46%
2283,baywatch,56,46%
2284,the shack,19,77%
2285,darkest hour,19,77%
2286,happy death day,71,65%
2287,"three billboards outside ebbing, missouri",71,65%
2288,atomic blonde,71,65%
2289,american made,71,65%
2290,the dark tower,,50%
2291,lady bird,99,79%
2292,boo 2! a madea halloween,99,79%
2293,snatched,99,79%
2294,smurfs: the lost village,99,79%
2295,going in style,90,73%
2296,all eyez on me,90,73%
2297,xxx: return of xander cage,90,73%
2298,47 meters down,54,36%
2299,the big sick,98,88%
2300,valerian and the city of a thousand planets,48,53%
2301,the star,48,53%
2302,ghost in the shell,96,89%
2303,paddington 2,100,88%
2304,king arthur: legend of the sword,100,88%
2305,jigsaw,100,88%
2306,american assassin,,
2307,the foreigner,,
2308,"everything, everything",,
2309,wind river,,64%
2310,geostorm,13,37%
2311,fist fight,13,37%
2312,how to be a latin lover,38,61%
2313,kidnap,38,61%
2314,the mountain between us,41,48%
2315,life,41,48%
2316,"i, tonya",41,48%
2317,hostiles,71,73%
2318,molly's game,71,73%
2319,the nut job 2: nutty by nature,71,73%
2320,logan lucky,92,75%
2321,rings,,65%
2322,home again,,57%
2323,the house,,57%
2324,all the money in the world,,57%
2325,gifted,,57%
2326,downsizing,49,22%
2327,the bye bye man,20,22%
2328,victoria & abdul,20,22%
2329,rough night,45,29%
2330,my little pony: the movie,45,29%
2331,the disaster artist,91,86%
2332,phantom thread,91,69%
2333,sleepless,50,50%
2334,diary of a wimpy kid: the long haul,50,50%
2335,the circle,50,50%
2336,baahubali 2: the conclusion,50,50%
2337,chips,17,45%
2338,only the brave,,
2339,call me by your name,94,85%
2340,mother!,94,85%
2341,father figures,,
2342,the zookeeper's wife,,
2343,chappaquiddick,82,70%
2344,the glass castle,,
2345,flatliners,48,59%
2346,detroit,48,59%
2347,the case for christ,52,79%
2348,wish upon,18,30%
2349,it comes at night,87,44%
2350,megan leavey,85,82%
2351,battle of the sexes,85,72%
2352,before i fall,64,57%
2353,"roman j. israel, esq.",64,57%
2354,unforgettable,21,27%
2355,the beguiled,79,48%
2356,marshall,81,84%
2357,thank you for your service,,70%
2358,the death of stalin,96,77%
2359,the space between us,17,55%
2360,the wife,17,55%
2361,let there be light,83,85%
2362,beatriz at dinner,75,55%
2363,loving vincent,85,86%
2364,the snowman,85,86%
2365,same kind of different as me,33,87%
2366,just getting started,5,10%
2367,the florida project,96,79%
2368,all saints,94,73%
2369,suburbicon,28,25%
2370,the man who invented christmas,80,79%
2371,tiger zinda hai,67,66%
2372,the book of henry,22,63%
2373,stronger,22,63%
2374,borg vs mcenroe,84,74%
2375,the hero,84,74%
2376,table 19,26,40%
2377,phoenix forgotten,44,41%
2378,disobedience,,
2379,til death do us part,,59%
2380,first reformed,93,68%
2381,raees,73,59%
2382,the leisure seeker,36,58%
2383,ingrid goes west,85,71%
2384,thoroughbreds,85,71%
2385,wolf warrior 2,85,71%
2386,my cousin rachel,85,71%
2387,a question of faith,67,40%
2388,do it like an hombre,67,40%
2389,you were never really here,89,64%
2390,tulip fever,9,44%
2391,mary and the witch's flower,9,44%
2392,the rider,97,82%
2393,t2 trainspotting,79,78%
2394,pokémon the movie: i choose you!,79,78%
2395,papillon,83,90%
2396,the killing of a sacred deer,80,63%
2397,jeepers creepers iii,80,63%
2398,the lovers,100,80%
2399,brad's status,100,80%
2400,a fantastic woman,94,78%
2401,good time,91,80%
2402,the bride of badrinath,91,80%
2403,everybody loves somebody,93,71%
2404,sin-gwa ham-kke: jwi-wa beol,93,71%
2405,fang hua,93,71%
2406,toilet: a love story,93,71%
2407,the wall,93,71%
2408,the last word,93,71%
2409,goodbye christopher robin,63,71%
2410,menashe,95,62%
2411,slamma jamma,,89%
2412,the little hours,79,48%
2413,jolly llb 2,50,65%
2414,a ghost story,90,65%
2415,the bookshop,55,48%
2416,professor marston and the wonder women,86,78%
2417,the stray,,
2418,taeksi woonjunsa,,
2419,the square,86,69%
2420,judwaa 2,57,36%
2421,finding your feet,70,56%
2422,wonder wheel,30,40%
2423,my friend dahmer,86,63%
2424,the dinner,86,63%
2425,the recall,,31%
2426,jab harry met sejal,17,49%
2427,churchill,49,58%
2428,3 idiotas,,52%
2429,the sense of an ending,76,52%
2430,lean on pete,91,73%
2431,the trip to spain,91,73%
2432,viceroy's house,91,73%
2433,wonderstruck,66,57%
2434,film stars don't die in liverpool,66,57%
2435,columbus,66,57%
2436,grow house,,72%
2437,hotchpotch again,,72%
2438,1945,97,84%
2439,l'insulte,97,84%
2440,beyond skyline,67,38%
2441,last flag flying,78,70%
2442,lucky,,58%
2443,landline,74,63%
2444,tubelight,18,47%
2445,journey to the west: the demons strike back,18,47%
2446,the cakemaker,98,79%
2447,let the sunshine in,86,23%
2448,qian ren 3: zai jian qian ren,86,23%
2449,chingisiin huuhduud,86,23%
2450,beast,94,75%
2451,patti cake$,94,75%
2452,mark felt: the man who brought down the white house,94,75%
2453,mubarakan,33,53%
2454,the party,,
2455,on chesil beach,68,67%
2456,shubh mangal saavdhan,60,60%
2457,wilson,88,41%
2458,the only living boy in new york,32,49%
2459,foxtrot,,
2460,sage femme,,
2461,novitiate,87,70%
2462,ji yi da shi,87,70%
2463,loveless,87,70%
2464,bitter harvest,,61%
2465,brigsby bear,,61%
2466,"uchiage hanabi, shita kara miru ka? yoko kara miru ka?",,61%
2467,the children act,72,71%
2468,detective jagga,72,71%
2469,breathe,72,71%
2470,once upon a time,,
2471,gongjo,,
2472,beach rats,,
2473,cheng feng po lang,,
2474,final portrait,74,50%
2475,phillauri,40,44%
2476,chui lung,40,44%
2477,condorito: the movie,40,44%
2478,song to song,43,37%
2479,a gentleman,,58%
2480,un sac de billes,,58%
2481,"love, kennedy",,58%
2482,yoru wa mijikashi aruke yo otome,,58%
2483,tom of finland,81,69%
2484,rebel in the rye,28,65%
2485,oh lucy!,28,65%
2486,kung fu yoga,50,37%
2487,ok darling,50,37%
2488,god's own country,50,37%
2489,this is not what i expected,67,86%
2490,shine,91,90%
2491,flower,91,90%
2492,in the fade,76,71%
2493,feng ren ji yue dui,76,71%
2494,the breadwinner,95,86%
2495,happy end,,61%
2496,coincidence,,
2497,buddies in india,,27%
2498,the son of bigfoot,75,40%
2499,the black prince,8,92%
2500,but deliver us from evil,,40%
2501,i do... until i don't,,40%
2502,kings,,65%
2503,the endless,94,67%
2504,ce qui nous lie,70,61%
2505,namhansanseong,70,61%
2506,gook,94,83%
2507,kkun,94,83%
2508,crown heights,,33%
2509,band aid,,33%
2510,mutafukaz,,33%
2511,american satan,83,80%
2512,little pink house,74,82%
2513,getting grace,,96%
2514,xia dao lian meng,,96%
2515,peurizeun,,96%
2516,keep the change,,60%
2517,zama,96,54%
2518,gemini,,71%
2519,gauguin: voyage to tahiti,,71%
2520,yao ling ling,,71%
2521,the other side of hope,92,79%
2522,estiu 1993,92,79%
2523,marjorie prime,90,62%
2524,daisy winters,60,97%
2525,les gardiennes,60,97%
2526,champion,60,97%
2527,gekijôban fairy tail: dragon cry,60,97%
2528,valley of bones,,72%
2529,double lover,71,47%
2530,kuleana,,67%
2531,journey's end,,67%
2532,mugen no jûnin,,67%
2533,thelma,,67%
2534,holiday inn: the new irving berlin musical - live,,67%
2535,ghost stories,,67%
2536,the young karl marx,60,71%
2537,bpm (beats per minute),60,71%
2538,qimen dunjia,60,71%
2539,americons,60,71%
2540,yin bao zhe,60,71%
2541,bodied,88,92%
2542,"we love you, sally carmichael!",88,92%
2543,love after love,,
2544,monster family,10,24%
2545,yoake tsugeru rû no uta,10,24%
2546,der hauptmann,10,24%
2547,fabricated city,67,69%
2548,les fantômes d'ismaël,67,69%
2549,revenge,,13%
2550,memoir of war,57,71%
2551,walking out,89,59%
2552,"tim timmerman, hope of america",89,59%
2553,mary shelley,40,47%
2554,poster boys,,22%
2555,ming yue ji shi you,,22%
2556,sweet country,,
2557,laissez bronzer les cadavres,,
2558,salinjaui gieokbeob,,
2559,the king's case note,,
2560,because of grácia,,
2561,sandome no satsujin,,
2562,how to talk to girls at parties,47,40%
2563,chapter & verse,47,40%
2564,jusqu'à la garde,47,40%
2565,la caméra de claire,47,40%
2566,godard mon amour,54,59%
2567,the nile hilton incident,90,57%
2568,en el séptimo día,90,57%
2569,hao jile,90,57%
2570,shock and awe,,
2571,pop aye,90,64%
2572,die göttliche ordnung,90,64%
2573,mukkabaaz,90,64%
2574,the proxy soldiers,90,64%
2575,tehran taboo,97,80%
2576,el último traje,97,80%
2577,"nico, 1988",97,80%
2578,bye bye germany,90,80%
2579,jieyou zahuodian,90,80%
2580,outside in,90,80%
2581,undir trénu,90,80%
2582,elizabeth blue,58,98%
2583,tragedy girls,58,98%
2584,where is kyra?,82,55%
2585,bomb city,89,86%
2586,woman walks ahead,53,63%
2587,django,92,84%
2588,dang kou feng yun,92,84%
2589,mei hao de yi wai,92,84%
2590,i am not a witch,97,78%
2591,person to person,97,78%
2592,hirune-hime: shiranai watashi no monogatari,97,78%
2593,racer and the jailbird,33,49%
2594,sanpo suru shinryakusha,33,49%
2595,rodin,33,49%
2596,what will people say,33,49%
2597,battlecreek,,50%
2598,woodshock,,25%
2599,western,79,82%
2600,maurice!,79,82%
2601,humor me,71,70%
2602,submission,,
2603,arábia,,29%
2604,golden exits,68,46%
2605,krystal,10,50%
2606,bamui haebyun-eoseo honja,10,50%
2607,breath,,
2608,the house of tomorrow,,
2609,le grand méchant renard et autres contes...,,
2610,24 frames,94,40%
2611,dave made a maze,83,71%
2612,"no date, no sign",83,71%
2613,super dark times,88,71%
2614,sollers point,84,63%
2615,goodland,,
2616,7 witches,,13%
2617,signature move,100,88%
2618,a ciambra,88,76%
2619,good manners,94,69%
2620,inxeba,94,69%
2621,xx,71,19%
2622,la novia del desierto,71,19%
2623,savage,,
2624,lemon,,
2625,berlin syndrome,73,53%
2626,fei fan ren wu,73,53%
2627,aknyeo,73,53%
2628,the misandrists,75,40%
2629,izzy gets the fuck across town,75,40%
2630,geu-hu,75,40%
2631,the final stroke,75,40%
2632,vazante,87,63%
2633,death house,40,79%
2634,l'atelier,40,79%
2635,loving pablo,32,38%
2636,heesaeng boohwalja,32,38%
2637,the cured,67,49%
2638,the female brain,37,54%
2639,who we are now,95,67%
2640,november,31,40%
2641,anything,64,90%
2642,the man from outer space,,
2643,mrs. hyde,,
2644,desolation,64,19%
2645,gabriel e a montanha,64,19%
2646,ava,79,70%
2647,freak show,51,69%
2648,bad grandmas,,67%
2649,marlina the murderer in four acts,97,81%
2650,badsville,,
2651,song of granite,87,50%
2652,the last movie star,50,73%
2653,xiu chun dao ii: xiu luo zhan chang,50,73%
2654,chasing the blues,80,
2655,life & nothing more,80,
2656,like me,72,59%
2657,permanent,38,73%
2658,in search of fellini,89,73%
2659,félicité,89,73%
2660,the boy downstairs,64,44%
2661,let yourself go,,25%
2662,the escape,,25%
2663,hannah,,25%
2664,chez nous,,25%
2665,the wedding party 2: destination dubai,,25%
2666,sweet virginia,,25%
2667,painted woman,,25%
2668,please stand by,,25%
2669,the eyes,,35%
2670,aala kaf ifrit,,35%
2671,furious,,
2672,the ballad of lefty brown,79,54%
2673,dark river,79,54%
2674,another wolfcop,64,63%
2675,l'école buissonnière,64,63%
2676,the fuzz,,
2677,painless,,40%
2678,the vault,,
2679,the man from earth: holocene,,
2680,bad lucky goat,,67%
2681,lycan,,67%
2682,dark meridian,,
2683,the tribes of palos verdes,62,61%
2684,sexual chronicles of a french family,0,26%
2685,silent hill: revelation 3d,0,26%
2686,wrong turn 5: bloodlines,0,26%
2687,christmas crush,0,26%
2688,tutto tutto niente niente,0,26%
2689,get the gringo,81,68%
2690,i want you,,66%
2691,underworld: awakening,,66%
2692,iron sky,37,37%
2693,secret of the wings,58,78%
2694,the scorpion king 3: battle for redemption,58,78%
2695,fire with fire,,82%
2696,fire with fire,,82%
2697,starship troopers: invasion,,82%
2698,the hunt,,82%
2699,burning bright,,82%
2700,the grey,,82%
2701,the pirates! in an adventure with scientists!,,82%
2702,the snow queen,,82%
2703,gambit,,81%
2704,goon,82,70%
2705,an american girl: mckenna shoots for the stars,82,70%
2706,the imposter,82,70%
2707,"batman: the dark knight returns, part 1",82,70%
2708,one piece film z,,75%
2709,erased,,75%
2710,erased,,75%
2711,my way,,75%
2712,excision,82,61%
2713,justice league: doom,82,61%
2714,home alone: the holiday heist,82,61%
2715,the suicide shop,82,61%
2716,berserk: the golden age arc 2 - the battle for doldrey,82,61%
2717,game change,82,61%
2718,wolf children,94,92%
2719,berserk: the golden age arc 1 - the egg of the king,94,92%
2720,house with a nice view,94,92%
2721,evangelion: 3.0 you can (not) redo,94,92%
2722,masquerade,94,92%
2723,black rock,94,92%
2724,jan dara: the beginning,94,92%
2725,what's in a name,94,92%
2726,superman vs. the elite,94,92%
2727,the seasoning house,21,41%
2728,the body,21,41%
2729,360,21,41%
2730,"tad, the lost explorer",21,41%
2731,blue lagoon: the awakening,21,41%
2732,hit & run,21,41%
2733,the factory,,41%
2734,broken,,
2735,puss in boots: the three diablos,,
2736,the samaritan,24,40%
2737,chained,24,40%
2738,cockneys vs zombies,75,45%
2739,acab - all cops are bastards,75,45%
2740,antiviral,65,40%
2741,cleanskin,53,65%
2742,after porn ends,,29%
2743,resident evil: damnation,,29%
2744,a letter to momo,80,76%
2745,the tall man,80,76%
2746,searching for sugar man,94,92%
2747,the concubine,,33%
2748,the pact,,33%
2749,dark tide,,31%
2750,turkish for beginners,,31%
2751,7 boxes,100,82%
2752,love is all you need,74,59%
2753,vamps,74,59%
2754,rurouni kenshin,74,59%
2755,tangled ever after,,79%
2756,haute cuisine,68,55%
2757,lightning strike,68,55%
2758,maggie simpson in the longest daycare,68,55%
2759,arthur newman,20,24%
2760,holy motors,91,71%
2761,porn in the hood,91,71%
2762,the worst christmas of my life,91,71%
2763,out in the dark,75,82%
2764,camille rewinds,75,82%
2765,camille rewinds,75,82%
2766,radio rebel,,61%
2767,bob marley: marley,,61%
2768,marvel one-shot: item 47,,61%
2769,apartment 1303 3d,,8%
2770,the liability,65,35%
2771,houba! on the trail of the marsupilami,65,35%
2772,into the white,50,67%
2773,berberian sound studio,50,67%
2774,damsels in distress,75,39%
2775,till luck do us part,75,39%
2776,the punisher: dirty laundry,75,39%
2777,the baytown outlaws,22,54%
2778,le grand soir,22,54%
2779,[rec]³ genesis,22,54%
2780,the battery,100,65%
2781,6 bullets,,41%
2782,blancanieves,94,84%
2783,about cherry,14,15%
2784,naruto shippuden the movie: road to ninja,14,15%
2785,fly me to the moon,19,24%
2786,a turtle's tale 2: sammy's escape from paradise,19,24%
2787,immaturi - il viaggio,19,24%
2788,so undercover,6,49%
2789,40 days and nights,6,49%
2790,now is good,56,64%
2791,columbus circle,,37%
2792,us in the u.s.,,37%
2793,eden,,37%
2794,revenge for jolly!,,37%
2795,paperman,,43%
2796,seal team six: the raid on osama bin laden,,43%
2797,a hijacking,95,76%
2798,fresh meat,,24%
2799,outrage beyond,47,57%
2800,in the house,47,57%
2801,gangs of wasseypur - part 1,47,57%
2802,partysaurus rex,,75%
2803,drug war,,75%
2804,bait,,
2805,chinese zodiac,38,45%
2806,transit,,
2807,smiley,,
2808,american mary,60,52%
2809,girl vs. monster,60,52%
2810,grabbers,73,51%
2811,barbie: the princess & the popstar,73,51%
2812,cool kids don't cry,73,51%
2813,brake,44,40%
2814,barbara,88,42%
2815,side by side,88,42%
2816,stitches,,22%
2817,journey to the christmas star,,67%
2818,song for marion,65,68%
2819,a christmas story 2,65,68%
2820,my first time,65,68%
2821,a christmas wedding date,65,68%
2822,the act of killing,96,85%
2823,bad ass,96,85%
2824,zambezia,25,43%
2825,we are legion: the story of the hacktivists,25,43%
2826,viva l'italia,25,43%
2827,diaz - don't clean up this blood,25,43%
2828,asterix & obelix: god save britannia,25,43%
2829,what the day owes the night,25,43%
2830,room 237,25,43%
2831,let it shine,,84%
2832,laurence anyways,84,78%
2833,laurence anyways,84,78%
2834,the dream team,84,78%
2835,the queen of versailles,95,73%
2836,resolution,95,73%
2837,a fantastic fear of everything,34,35%
2838,on the other side of the tracks,,30%
2839,lovely molly,43,32%
2840,every blessed day,43,32%
2841,atm,8,23%
2842,grave encounters 2,22,27%
2843,me and you,68,51%
2844,a perfect family,68,51%
2845,breaking wind,68,51%
2846,the players,68,51%
2847,the players,68,51%
2848,a magnificent haunting,67,40%
2849,truth or dare,,58%
2850,mac & devin go to high school,,58%
2851,extracted,,47%
2852,i 2 soliti idioti,,
2853,gallowwalkers,,11%
2854,stash house,,21%
2855,i am bruce lee,,21%
2856,casa de mi padre,40,35%
2857,happiness never comes alone,40,35%
2858,paris-manhattan,40,35%
2859,paris-manhattan,40,35%
2860,dragon eyes,40,35%
2861,welcome to the north,,19%
2862,nous york,,16%
2863,katy perry: part of me,,16%
2864,final cut: ladies and gentlemen,,16%
2865,a werewolf boy,100,84%
2866,big is beautiful,100,84%
2867,confession of murder,100,84%
2868,love is in the air,100,84%
2869,18++ forever love,100,84%
2870,liz & dick,100,84%
2871,lesson of the evil,,59%
2872,meeting evil,,59%
2873,bernie,,92%
2874,the conspiracy,,92%
2875,would you rather,57,36%
2876,u.f.o.,57,36%
2877,interview with a hitman,,44%
2878,paradise: love,,44%
2879,frenemies,,43%
2880,imaginaerum,,43%
2881,indie game: the movie,,43%
2882,hate story,,43%
2883,the hypnotist,,43%
2884,stories we tell,94,78%
2885,barbie in a mermaid tale 2,94,78%
2886,doctor who: the snowmen,94,78%
2887,ghost graduation,,62%
2888,rigodon,,
2889,rigodon,,
2890,stars 80,,
2891,cold war,,
2892,ducoboo 2: crazy vacation,,
2893,piazza fontana: the italian conspiracy,,
2894,more than honey,100,79%
2895,streetdance 2,100,79%
2896,freelancers,,31%
2897,alien tornado,,31%
2898,2-headed shark attack,,31%
2899,pokémon the movie: kyurem vs. the sword of justice,,31%
2900,hemingway & gellhorn,,31%
2901,the thompsons,,31%
2902,tooth fairy 2,,36%
2903,electrick children,86,72%
2904,electrick children,86,72%
2905,conquest 1453,86,72%
2906,radiostars,,54%
2907,plan de table,,28%
2908,la vérité si je mens ! 3,,28%
2909,my awkward sexual adventure,71,53%
2910,nameless gangster,,73%
2911,artifact,,89%
2912,maximum conviction,,89%
2913,the philadelphia experiment,,15%
2914,gladiators of rome,,15%
2915,just like brothers,,15%
2916,capital,,
2917,west of memphis,96,87%
2918,bullit & ripper,96,87%
2919,war witch,94,78%
2920,war witch,94,78%
2921,redd inc.,,46%
2922,due west: our sex journey,,46%
2923,the tower,,46%
2924,beverly hills chihuahua 3 - viva la fiesta!,,46%
2925,angels of sex,,46%
2926,lake placid: the final chapter,,46%
2927,bad kids go to hell,44,36%
2928,werewolf: the beast among us,44,36%
2929,papadopoulos & sons,44,36%
2930,sofia the first: once upon a princess,44,36%
2931,abraham lincoln vs. zombies,44,36%
2932,mine games,,28%
2933,thale,55,33%
2934,the summit,55,33%
2935,bloody bloody bible camp,,13%
2936,a flat for three,,13%
2937,urban tale,,
2938,jack & diane,,
2939,jack & diane,,
2940,nitro circus: the movie,,
2941,the snitch cartel,,71%
2942,the good witch's charm,,71%
2943,not suitable for children,88,53%
2944,sister,88,53%
2945,marina abramović: the artist is present,88,53%
2946,chasing ice,88,53%
2947,after,88,53%
2948,tomorrow you're gone,88,53%
2949,dungeons & dragons: the book of vile darkness,88,53%
2950,the dinosaur project,29,20%
2951,when the lights went out,22,26%
2952,è nata una star?,,
2953,best man down,,
2954,whole lotta sole,,24%
2955,whole lotta sole,,24%
2956,you ain't seen nothin' yet,,24%
2957,eega,,24%
2958,tower block,,24%
2959,citadel,88,69%
2960,come out and play,53,23%
2961,hypothermia,53,23%
2962,storage 24,41,21%
2963,blood,,60%
2964,the devil's carnival,,60%
2965,head over heels 2,,60%
2966,here comes the devil,42,30%
2967,a better life,85,79%
2968,dead sushi,100,52%
2969,"emmanuelle through time: sex, chocolate & emmanuelle",100,52%
2970,"niko 2 - little brother, big trouble",100,52%
2971,ritual,,
2972,doomsday book,83,54%
2973,the girl,83,54%
2974,swerve,83,54%
2975,young & wild,83,54%
2976,ghost recon: alpha,83,54%
2977,a company man,,56%
2978,one in the chamber,,28%
2979,up there,,28%
2980,static,,80%
2981,rags,,80%
2982,a bride for christmas,,57%
