,movie name,meter_score,audience_score
365,in the fog,18,79%
366,"now, forager",18,79%
367,shanghai calling,53,56%
368,my brother the devil,53,56%
369,husbands in goa,,
370,even eye,,
371,the do-deca-pentathlon,,
372,silent night,,
373,in the house of flies,,57%
374,if i were you,,50%
375,inch'allah,,50%
376,[rec] 3: genesis,,50%
377,elefante blanco,,50%
378,general education,0,38%
379,the end of love,59,46%
380,dracula 3d,14,14%
381,for ellen,66,37%
382,arjun: the warrior prince,66,37%
383,les infidèles,30,27%
384,the brass teapot,32,51%
385,breakfast with curtis,32,51%
386,grassroots,32,51%
387,100 bloody acres,32,51%
388,price check,67,30%
389,girls against boys,22,29%
390,crazy eyes,28,21%
391,paradies: glaube,28,21%
392,de l'autre côté du périph,28,21%
393,a dark truth,8,36%
394,universal soldier: day of reckoning,8,36%
395,the giant mechanical man,70,65%
396,xue di zi,70,65%
397,the babymakers,8,22%
398,a liar's autobiography: the untrue story of monty python's graham chapman,8,22%
399,desperate endeavors,8,22%
400,the hunger games: catching fire,8,22%
401,iron man 3,80,78%
402,frozen,56,57%
403,despicable me 2,74,85%
404,man of steel,74,85%
405,gravity,,33%
406,monsters university,79,81%
407,the hobbit: the desolation of smaug,79,81%
408,furious 6,79,81%
409,oz the great and powerful,60,56%
410,star trek: into darkness,60,56%
411,thor: the dark world,60,56%
412,world war z,66,72%
413,the croods,72,77%
414,the heat,65,71%
415,we're the millers,65,71%
416,american hustle,93,74%
417,the great gatsby,93,74%
418,the conjuring,86,83%
419,identity thief,19,53%
420,grown ups 2,7,53%
421,the wolverine,7,53%
422,anchorman 2: the legend continues,7,53%
423,lone survivor,76,87%
424,g.i. joe: retaliation,,29%
425,cloudy with a chance of meatballs 2,71,66%
426,now you see me,49,70%
427,the wolf of wall street,49,70%
428,the butler,49,70%
429,the hangover part iii,21,44%
430,epic,,
431,captain phillips,94,89%
432,bad grandpa,60,60%
433,pacific rim,60,60%
434,this is the end,83,71%
435,olympus has fallen,83,71%
436,42,83,71%
437,elysium,,45%
438,planes,25,49%
439,the lone ranger,31,51%
440,oblivion,,29%
441,insidious: chapter 2,,29%
442,saving mr. banks,,29%
443,turbo,,71%
444,2 guns,64,66%
445,white house down,51,62%
446,mama,,
447,safe haven,13,67%
448,the smurfs 2,14,56%
449,the best man holiday,70,83%
