,Name,Genre,Rating,Votes,BoxOffice,Year
201,Son of Sardaar,"Action, Comedy",4,7852,"713,754",2012
202,The Paperboy,"Crime, Drama, Mystery",5.8,33217,"692,640",2012
203,Jagten,Drama,8.3,229923,"687,185",2012
204,The Thieves,"Action, Comedy, Crime",6.8,7743,"685,839",2012
205,Teri Meri Kahaani,"Comedy, Drama, Romance",4.7,3540,"671,442",2012
206,2 Days in New York,"Comedy, Drama, Romance",6,13152,"632,824",2012
207,Agent Vinod,"Action, Adventure, Thriller",5.1,6451,"632,446",2012
208,Not Fade Away,Drama,6,4027,"607,327",2012
209,Blue Like Jazz,"Comedy, Drama",5.9,2784,"594,904",2012
210,Heroine,Drama,5.1,3582,"593,344",2012
211,To the Wonder,"Drama, Romance",5.9,24812,"586,293",2012
212,Being Flynn,Drama,6.4,15549,"526,322",2012
213,The Reluctant Fundamentalist,"Drama, Thriller",6.9,12245,"519,535",2012
214,Bachelorette,"Comedy, Romance",5.3,42143,"447,954",2012
215,Ferrari Ki Sawaari,"Comedy, Drama, Family",6.4,4488,"420,046",2012
216,Kapringen,"Drama, Thriller",7.2,14491,"413,276",2012
217,At Any Price,"Drama, Sport, Thriller",5.6,6611,"379,791",2012
218,Piranha 3DD,"Comedy, Horror",3.7,36072,"376,512",2012
219,Smashed,Drama,6.8,15370,"375,981",2012
220,Dans la maison,"Comedy, Drama, Mystery",7.4,26604,"354,244",2012
221,Branded,"Drama, Fantasy, Thriller",4.7,8391,"353,468",2012
222,Player 786,"Action, Comedy",4.4,5464,"352,684",2012
223,Neuk-dae-so-nyeon,"Fantasy, Romance",7.4,5298,"342,922",2012
224,Le Chef,Comedy,6.7,14670,"342,667",2012
225,Red Hook Summer,Drama,5,1424,"338,803",2012
226,Student of the Year,"Comedy, Drama, Romance",5.5,11975,"326,508",2012
227,Compliance,"Biography, Crime, Drama",6.4,28063,"318,622",2012
228,Liberal Arts,"Comedy, Drama, Romance",6.7,33481,"317,190",2012
229,Yi jiu si er,Drama,6.9,2765,"308,871",2012
230,The Angels' Share,"Comedy, Crime, Drama",7,21136,"304,357",2012
231,Stolen,"Action, Crime, Drama",5.5,40671,"304,318",2012
232,Ernest & Celestine,"Animation, Adventure, Comedy",7.9,15390,"292,562",2012
233,Snow White,"Drama, Fantasy",7.6,9400,"279,735",2012
234,Opposite Blood,Action,8,11,"265,000",2012
235,Great Expectations,"Drama, Romance",6.4,11114,"258,656",2012
236,Lola Versus,Comedy,5.5,7859,"251,913",2012
237,The Jonas Project,Drama,5.5,31,"250,000",2012
238,Keep the Lights On,"Drama, Romance",6.3,4856,"245,138",2012
239,Love,"Drama, Romance",6.6,1274,"234,159",2012
240,Like Someone in Love,Drama,7,8808,"221,390",2012
241,Thaandavam,"Action, Thriller",6.1,1441,"212,145",2012
242,Tai Chi Zero,"Action, Adventure, Drama",6.1,4504,"212,094",2012
